# dx	dy
-9.352824687957763672e-01 -8.330596983432769775e-02
-9.040388464927673340e-01 -5.974075198173522949e-02
-9.241768121719360352e-01 -7.748545706272125244e-02
-9.270954132080078125e-01 -9.140487015247344971e-02
-9.186961054801940918e-01 -8.547930419445037842e-02
-8.790622949600219727e-01 -9.884221851825714111e-02
-8.797267675399780273e-01 -1.110381707549095154e-01
-8.279749155044555664e-01 -9.660477191209793091e-02
-8.246276974678039551e-01 -9.893650561571121216e-02
-8.030649423599243164e-01 -1.067163273692131042e-01
-7.849251031875610352e-01 -1.125127524137496948e-01
-7.679222822189331055e-01 -7.884120196104049683e-02
-7.445601820945739746e-01 -1.056244075298309326e-01
-7.151204347610473633e-01 -1.035611331462860107e-01
-7.423505783081054688e-01 -1.047117114067077637e-01
-7.117861509323120117e-01 -1.048213765025138855e-01
-6.971654891967773438e-01 -1.005831509828567505e-01
-7.046340107917785645e-01 -1.077724769711494446e-01
-6.742848157882690430e-01 -5.744043737649917603e-02
-6.749428510665893555e-01 -6.824214011430740356e-02
-6.502880454063415527e-01 -7.116918265819549561e-02
-6.152149438858032227e-01 -1.154099851846694946e-01
-6.002341508865356445e-01 -1.394259035587310791e-01
-5.651302337646484375e-01 -1.380814909934997559e-01
-5.415028333663940430e-01 -1.382798552513122559e-01
-5.404174923896789551e-01 -1.461569666862487793e-01
-5.079667568206787109e-01 -1.398919224739074707e-01
-5.043823122978210449e-01 -1.378574818372726440e-01
-5.028761029243469238e-01 -1.042255237698554993e-01
-4.755238294601440430e-01 -1.268320083618164062e-01
-4.604916870594024658e-01 -1.053787171840667725e-01
-4.404646456241607666e-01 -1.421334147453308105e-01
-4.099942445755004883e-01 -1.208424419164657593e-01
-4.191498756408691406e-01 -1.167946457862854004e-01
-4.030984342098236084e-01 -8.989284932613372803e-02
-4.029130339622497559e-01 -6.765401363372802734e-02
-3.907986581325531006e-01 -6.703932583332061768e-02
-3.689687252044677734e-01 -8.275851607322692871e-02
-3.647001385688781738e-01 -5.969747528433799744e-02
-3.154354691505432129e-01 -6.697225570678710938e-02
-3.095320761203765869e-01 -6.740973889827728271e-02
-3.186107277870178223e-01 -7.178661227226257324e-02
-3.486843109130859375e-01 -6.013064831495285034e-02
-3.266563415527343750e-01 -5.405081808567047119e-02
-3.393749296665191650e-01 -3.639977797865867615e-02
-3.799245953559875488e-01 -1.454316824674606323e-02
-3.626283705234527588e-01 -1.568865589797496796e-02
-3.730152845382690430e-01 -2.779418043792247772e-02
-3.898519873619079590e-01 9.552471339702606201e-03
-3.562514781951904297e-01 1.075725071132183075e-03
-3.173874616622924805e-01 1.915708184242248535e-02
-3.184818625450134277e-01 3.681938350200653076e-02
-3.274289667606353760e-01 2.103311382234096527e-02
-3.472697734832763672e-01 2.445928007364273071e-02
-3.171963989734649658e-01 5.212335847318172455e-03
-3.100522458553314209e-01 2.006736025214195251e-02
-3.019436299800872803e-01 -3.560043638572096825e-03
-3.096407651901245117e-01 -3.246017545461654663e-02
-3.030896186828613281e-01 -3.610029444098472595e-02
-2.872284352779388428e-01 -6.327196955680847168e-02
-3.077557086944580078e-01 -3.162525594234466553e-02
-2.685585618019104004e-01 -4.609141126275062561e-02
-2.457864880561828613e-01 -5.413940921425819397e-02
-2.146038711071014404e-01 -6.203069537878036499e-02
-1.972461938858032227e-01 -3.546852618455886841e-02
-1.909357160329818726e-01 -3.892271220684051514e-02
-1.914609670639038086e-01 -7.225154340267181396e-02
-1.630632579326629639e-01 -4.416763037443161011e-02
-1.588667184114456177e-01 -4.721034318208694458e-02
-1.202492117881774902e-01 -3.990763798356056213e-02
-1.063515990972518921e-01 -5.650004744529724121e-02
-1.055857390165328979e-01 -4.568719118833541870e-02
-8.712734282016754150e-02 -8.064396679401397705e-02
-5.995039641857147217e-02 -7.608181238174438477e-02
-1.992803812026977539e-02 -9.570452570915222168e-02
-3.749629855155944824e-02 -1.073033586144447327e-01
-3.047451376914978027e-02 -6.601411849260330200e-02
-3.492322564125061035e-02 -5.209239944815635681e-02
8.857816457748413086e-03 -5.686153471469879150e-02
1.339823007583618164e-03 -6.949584186077117920e-02
2.269384264945983887e-02 -5.071345344185829163e-02
2.036660909652709961e-02 -4.365801066160202026e-02
